日,"び,じつ,ひ,か,にち"
一,"ひと,いち,いつ"
国,"くに,こく"
人,"り,じん,と,ひと,にん"
年,"とし,ねん"
大,"おお,おおきい,だい,たい"
十,"じゅッ,と,じゅう,とお,じッ"
二,"じ,ふたつ,ふた,ふたた,に,ふたり"
本,"もと,ほん"
中,"なか,うち,あた,ちゅう"
長,"なが,ながい,おさ,ちょう"
出,"い,だす,しゅつ,で,すい,だ,でる"
三,"ぞう,み,みっか,みっつ,さん,みっ"
時,"とき,どき,じ"
行,"い,おこ,おこな,おこなう,ゆ,いく,ぎょう,ゆき,いき,ゆく,あん,こう"
見,"み,みせる,けん,みえる,みる"
月,"つき,げつ,がつ"
後,"のち,あと,ご,おく,おくれ,うしろ,こう,うし"
前,"まえ,ぜん"
生,"い,な,うま,いきる,お,うまれる,なま,き,せい,はやす,はえる,しょう,う,む,は,うむ,うまれ"
五,"いつ,いつつ,ご"
間,"あい,かん,ま,けん,あいだ"
上,"うわ,のぼる,のぼ,あ,しょう,しゃん,よ,じょう,あげる,うえ,かみ,あがる"
東,"ひがし,とう"
四,"よ,よん,よっ,し"
今,"いま,こん,きん"
金,"ごん,かね,こん,かな,きん,がね"
九,"ここの,ここのつ,きゅう,く"
入,"はいる,い,にゅう,いる,いれる,じゅ,いり,はい,いれ"
学,"まな,まなぶ,がく"
高,"たかさ,たかまる,たか,だか,たかい,たかめる,たかぶる,こう"
円,"まど,まろ,まるい,まる,えん"
子,"こ,つ,し,ね,す"
外,"はずす,と,そと,げ,はずれる,ほか,がい,はず"
八,"やっ,やっつ,はち,よう,や"
六,"りく,ろく,むっ,む,むっつ,むい"
下,"くだ,もと,さげる,お,した,ください,さがる,くだる,おりる,さ,おろす,げ,しも,か"
来,"らい,こ,くる,き,きた,きたる,たい,く"
気,"いき,き,け"
小,"こ,ちい,お,ちいさい,しょう,さ"
七,"なな,なの,ななつ,しち"
山,"やま,さん,せん"
話,"はな,はなす,はなし,わ"
女,"め,おんな,にょ,にょう,じょ"
北,"きた,ほく"
午,"うま,ご"
百,"もも,ひゃく,びゃく"
書,"しょ,かく,が,か,がき"
先,"さき,ま,せん"
名,"な,めい,みょう"
川,"かわ,せん"
千,"ち,せん"
水,"みず,すい"
半,"なか,なかば,はん"
男,"おとこ,お,だん,なん"
西,"にし,せい,さい,す"
電,でん
校,"こう,きょう"
語,"かた,かたる,ご"
土,"つち,ど,と"
木,"き,こ,ぼく,もく"
聞,"きこえる,きく,き,ぶん,もん"
食,"しょく,た,じき,は,たべる,くう,く"
車,"くるま,しゃ"
何,"なに,なん,か"
南,"みなみ,なん,な"
万,"よろず,まん,ばん"
毎,"ごと,まい"
白,"びゃく,しら,しろい,しろ,はく"
天,"あめ,あま,あまつ,てん"
母,"はは,も,ぼ"
火,"ひ,び,ほ,か"
右,"みぎ,う,ゆう"
読,"とう,どく,よむ,とく,よ"
友,"とも,ゆう"
左,"ひだり,さ,しゃ"
休,"やす,やすめる,やすみ,きゅう,やすむ"
父,"ちち,ふ"
雨,"あめ,あま,さめ,う"
会,"あつ,かい,あ,あう,え"
同,"おな,おなじ,おなじく,どう"
事,"こと,つか,じ,ず"
自,"じ,みずから,し,おの,みずか,おのずから"
社,"やしろ,しゃ"
発,"た,はな,おこ,あば,はつ,たつ,つか,ほつ"
者,"もの,しゃ"
地,"ち,じ"
業,"わざ,ぎょう,ごう"
方,"かた,がた,ほう"
新,"あたら,あら,あらた,にい,あたらしい,しん"
場,"ば,じょう,ちょう"
員,いん
立,"た,たつ,りゅう,たてる,りっとる,たて,りつ,たち,だ"
開,"あける,あく,ひら,ひらく,かい,あ,びら"
手,"て,た,しゅ,ず"
力,"ちから,りょく,りき,りい"
問,"とん,と,とう,もん,とい"
代,"かわり,かえる,かわる,がわ,しろ,だい,たい,かわ,が,よ,か"
明,"みん,あかるい,あける,みょう,あき,あからむ,めい,あ,あきらか,あか"
動,"どう,うごく,うごき,うご,うごかす"
京,"みやこ,きょう,けい,きん"
目,"め,ま,もく,ぼく"
通,"とおる,つ,とおす,かよ,とお,どお,とおし,つう,とおり,かよう"
言,"ごん,い,いう,げん,こと"
理,"ことわり,り"
体,"からだ,かたち,たい,てい"
田,"た,でん"
主,"ぬし,おもに,す,あるじ,しゅ,おも,しゅう"
題,だい
意,い
不,"ふ,ぶ"
作,"つくり,づく,さく,さ,つくる,つく"
用,"もち,もちいる,よう"
度,"た,と,たく,ど,たび"
強,"ごう,こわ,し,つよめる,つよまる,つよい,しいる,きょう,つよ"
公,"おおやけ,こう,く"
持,"も,もつ,もち,じ"
野,"の,や,しょ"
以,"も,もって,もっ,い"
思,"し,おぼ,おもう,おもえら,おもい,おも"
家,"うち,け,いえ,か,や"
世,"そう,せ,せい,さんじゅう,よ"
多,"た,おお,おおい,おおく,まさ"
正,"ただしい,せい,ただ,しょう,ただす,まさに,まさ"
安,"やす,やすい,やすまる,あん,やすらか"
院,いん
心,"こころ,ごころ,しん"
界,かい
教,"おしえる,おそわる,おそ,おし,きょう"
文,"ふみ,あや,ぶん,もん"
元,"もと,げん,がん"
重,"ちょう,おもたい,じゅう,かさなる,おもし,かさねる,おもり,おもい,え,おも,かさ,おもさ"
近,"こん,ちかく,ちか,ちかい,きん"
考,"かんが,かんがえる,かんがえ,こう"
画,"はかりごと,かぎ,えが,かい,かく,が,え,はか"
海,"うみ,かい"
売,"う,うる,ばい"
知,"し,ち,しる,しらす,しらせる"
道,"みち,どう,とう"
集,"あつまり,つどい,あつ,つどう,あつまる,つど,あつめる,しゅう"
別,"べつ,わか,わかれ,わかれる,わ"
物,"もの,ぶつ,もつ"
使,"つかい,し,づか,つか,つかう"
品,"しな,ひん,ほん"
計,"はかり,はからう,はかる,けい,はか"
死,"し,しぬ,しに"
特,とく
私,"わたし,わたくし,し"
始,"はじ,はじまる,はじめる,し"
朝,"あさ,ちょう"
運,"はこ,はこぶ,うん"
終,"おえる,お,おわらせる,おわり,おわ,おわる,つい,しゅう"
台,"われ,つかさ,だい,たい,うてな"
広,"ひろまる,ひろ,ひろめる,ひろがる,ひろい,ひろげる,こう,ひろさ"
住,"じゅう,ちゅう,ず,ぢゅう,すまい,すむ,す"
真,"ま,まこと,しん"
有,"あ,ある,ゆう,う"
口,"くち,こう,く"
少,"すく,すこ,しょう,すくない,すこし"
町,"まち,ちょう"
